Institution,establishment_date,source,,order,type,name,countryCode,region,sector,id,country
Royal Institute of Technology,,,,148,application/json,Royal Institute of Technology,swe,EUR,academic,332012,Sweden
University of Arizona,,,,149,application/json,University of Arizona,usa,NAM,academic,508256,United States
University of Munster,,,,150,application/json,University of Munster,deu,EUR,academic,309087,Germany
Hokkaido University,,,,151,application/json,Hokkaido University,jpn,APAC,academic,208034,Japan
University of Colorado Denver,,,,152,application/json,University of Colorado Denver,usa,NAM,academic,508274,United States
National Taiwan University,,,,153,application/json,National Taiwan University,twn,APAC,academic,217045,Taiwan
Xi'an Jiaotong University,,,,154,application/json,Xi'an Jiaotong University,chn,APAC,academic,203223,China
University of Virginia,,,,155,application/json,University of Virginia,usa,NAM,academic,508357,United States
Universitat de Barcelona,,,,156,application/json,Universitat de Barcelona,esp,EUR,academic,312046,Spain
Universite Catholique de Louvain,,,,157,application/json,Universite Catholique de Louvain,bel,EUR,academic,303009,Belgium
Universite de Montreal,,,,158,application/json,Universite de Montreal,can,NAM,academic,501028,Canada
University of Calgary,,,,159,application/json,University of Calgary,can,NAM,academic,501037,Canada
University of Padova,,,,160,application/json,University of Padova,ita,EUR,academic,321058,Italy
University of Freiburg,,,,161,application/json,University of Freiburg,deu,EUR,academic,309072,Germany
Sichuan University,,,,162,application/json,Sichuan University,chn,APAC,academic,203186,China
University of Bologna,,,,163,application/json,University of Bologna,ita,EUR,academic,321040,Italy
University of Adelaide,,,,164,application/json,University of Adelaide,aus,APAC,academic,201022,Australia
Baylor College of Medicine,1900,https://en.wikipedia.org/wiki/Baylor_College_of_Medicine,,165,application/json,Baylor College of Medicine,usa,NAM,academic,508009,United States
University of Wurzburg,,,,166,application/json,University of Wurzburg,deu,EUR,academic,309099,Germany
University of Turin,,,,167,application/json,University of Turin,ita,EUR,academic,321071,Italy
Wuhan University,,,,168,application/json,Wuhan University,chn,APAC,academic,203219,China
Beijing Normal University,,,,169,application/json,Beijing Normal University,chn,APAC,academic,203013,China
Virginia Commonwealth University,1968,https://en.wikipedia.org/wiki/Virginia_Commonwealth_University,1,170,application/json,Virginia Commonwealth University,usa,NAM,academic,508365,United States
University of Texas M. D. Anderson Cancer Center,1941,https://en.wikipedia.org/wiki/University_of_Texas_MD_Anderson_Cancer_Center,1,171,application/json,University of Texas M. D. Anderson Cancer Center,usa,NAM,academic,508805,United States
Universite Grenoble Alpes,,,,172,application/json,Universite Grenoble Alpes,fra,EUR,academic,314315,France
Technical University of Denmark,,,,173,application/json,Technical University of Denmark,dnk,EUR,academic,310009,Denmark
Universitat Autonoma de Barcelona,,,,174,application/json,Universitat Autonoma de Barcelona,esp,EUR,academic,312045,Spain
University of Iowa,,,,175,application/json,University of Iowa,usa,NAM,academic,508286,United States
Yonsei University,,,,176,application/json,Yonsei University,kor,APAC,academic,209077,South Korea
University of Pisa,,,,177,application/json,University of Pisa,ita,EUR,academic,321062,Italy
Wageningen University & Research,,,,178,application/json,Wageningen University & Research,nld,EUR,academic,325017,Netherlands
University of Delaware,1743,https://en.wikipedia.org/wiki/University_of_Delaware,,179,application/json,University of Delaware,usa,NAM,academic,508277,United States
Shandong University,,,,180,application/json,Shandong University,chn,APAC,academic,203165,China
University of Ottawa,,,,181,application/json,University of Ottawa,can,NAM,academic,501044,Canada
University of Texas Health Science Center at Houston,1972,https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_Houston,1,182,application/json,University of Texas Health Science Center at Houston,usa,NAM,academic,508349,United States
